"ColNum","Head1","Head2","SubFile","Evo","Reformat","VarName","Linked","Header"
1,"Patient.ID",,,,,,,"Patient.ID"
4,"Survey.Session.ID",,,,,,,"Survey.Session.ID"
5,"Survey.Time",,,,,,,"Survey.Time"
7,"Gender",,,,,,,"Gender"
8,"Race",,,,,,,"Race"
9,"Birthdate",,,,,,,"Birthdate"
10,"3..I.would.like.to.be.contacted.by.the.Registry.if.researchers.learn.anything.new.about.PMS.",,,,,,,"3..I.would.like.to.be.contacted.by.the.Registry.if.researchers.learn.anything.new.about.PMS."
11,,"UE_CONSENT_11",,,,,,"_UE_CONSENT_11"
12,"5..I.give.permission.to.the.Foundation.to.contact.me.at.least.once.a.year.to.ask.about.changes.to.my.medical.condition,.to.request.that.I.upload.particular.attachments,.or.to.complete.forms.associated.with.my.participation.in.the.Registry.",,,,,,,"5..I.give.permission.to.the.Foundation.to.contact.me.at.least.once.a.year.to.ask.about.changes.to.my.medical.condition,.to.request.that.I.upload.particular.attachments,.or.to.complete.forms.associated.with.my.participation.in.the.Registry."
13,"Country",,,,,,,"Country"
14,"Clinical.Status",,,,,,,"Clinical.Status"
15,"Genetic.Status",,,,,,,"Genetic.Status"
16,"What.is.your.child's.current.age?",,"Introduction",1,,,,"What.is.your.child's.current.age?"
17,"Does.your.child.have.seizures?",,"Seizures",1,,,,"Does.your.child.have.seizures?"
18,"Has.your.child.had.an.increase.in.seizures.in.adolescence.or.adulthood?","Yes/No","Seizures Status",,,,,"Has.your.child.had.an.increase.in.seizures.in.adolescence.or.adulthood?_Yes/No"
19,"Has.your.child.had.an.increase.in.seizures.in.adolescence.or.adulthood?","If.yes,.at.what.age?","Seizures Status",,,,,"Has.your.child.had.an.increase.in.seizures.in.adolescence.or.adulthood?_If.yes,.at.what.age?"
20,"Has.your.child.had.a.decrease.in.seizures.in.adolescence.or.adulthood?","Yes/No","Seizures Status",,,,,"Has.your.child.had.a.decrease.in.seizures.in.adolescence.or.adulthood?_Yes/No"
21,"Has.your.child.had.a.decrease.in.seizures.in.adolescence.or.adulthood?","If.yes,.at.what.age?","Seizures Status",,,,,"Has.your.child.had.a.decrease.in.seizures.in.adolescence.or.adulthood?_If.yes,.at.what.age?"
22,"Has.your.child.had.a.worsening.in.severity.of.seizures.in.adolescence.or.adulthood?","Yes/No","Seizures Status",,,,,"Has.your.child.had.a.worsening.in.severity.of.seizures.in.adolescence.or.adulthood?_Yes/No"
23,"Has.your.child.had.a.worsening.in.severity.of.seizures.in.adolescence.or.adulthood?","If.yes,.at.what.age?","Seizures Status",,,,,"Has.your.child.had.a.worsening.in.severity.of.seizures.in.adolescence.or.adulthood?_If.yes,.at.what.age?"
24,"Has.your.child.had.a.lessening.in.the.severity.of.seizures.in.adolescence.or.adulthood?","Yes/No","Seizures Status",,,,,"Has.your.child.had.a.lessening.in.the.severity.of.seizures.in.adolescence.or.adulthood?_Yes/No"
25,"Has.your.child.had.a.lessening.in.the.severity.of.seizures.in.adolescence.or.adulthood?","If.yes,.at.what.age?","Seizures Status",,,,,"Has.your.child.had.a.lessening.in.the.severity.of.seizures.in.adolescence.or.adulthood?_If.yes,.at.what.age?"
26,"Has.your.child.experienced.insomnia.(unable.to.sleep).frequently.in.adolescence.or.adulthood?","Yes/No","Sleep Status",,,,,"Has.your.child.experienced.insomnia.(unable.to.sleep).frequently.in.adolescence.or.adulthood?_Yes/No"
27,"Has.your.child.experienced.insomnia.(unable.to.sleep).frequently.in.adolescence.or.adulthood?","If.yes,.at.what.age.did.it.begin?","Sleep Status",,,,,"Has.your.child.experienced.insomnia.(unable.to.sleep).frequently.in.adolescence.or.adulthood?_If.yes,.at.what.age.did.it.begin?"
28,"Has.your.child.had.episodic.insomnia.(insomnia.comes.and.goes).in.adolescence.or.adulthood?","Yes/No","Sleep Status",,,,,"Has.your.child.had.episodic.insomnia.(insomnia.comes.and.goes).in.adolescence.or.adulthood?_Yes/No"
29,"Has.your.child.had.episodic.insomnia.(insomnia.comes.and.goes).in.adolescence.or.adulthood?","If.yes,.at.what.age.did.it.begin?","Sleep Status",,,,,"Has.your.child.had.episodic.insomnia.(insomnia.comes.and.goes).in.adolescence.or.adulthood?_If.yes,.at.what.age.did.it.begin?"
30,"Has.your.child.ever.been.diagnosed.with.depression?","Yes/No","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.depression?_Yes/No"
31,"Has.your.child.ever.been.diagnosed.with.depression?","If.yes,.at.what.age?","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.depression?_If.yes,.at.what.age?"
32,"Has.your.child.ever.been.diagnosed.with.bipolar/manic.depression?","Yes/No","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.bipolar/manic.depression?_Yes/No"
33,"Has.your.child.ever.been.diagnosed.with.bipolar/manic.depression?","If.yes,.at.what.age?","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.bipolar/manic.depression?_If.yes,.at.what.age?"
34,"Has.your.child.ever.been.diagnosed.with.anxiety.disorder?","Yes/No","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.anxiety.disorder?_Yes/No"
35,"Has.your.child.ever.been.diagnosed.with.anxiety.disorder?","If.yes,.at.what.age?","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.anxiety.disorder?_If.yes,.at.what.age?"
36,"Has.your.child.ever.been.diagnosed.with.panic.attacks?","Yes/No","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.panic.attacks?_Yes/No"
37,"Has.your.child.ever.been.diagnosed.with.panic.attacks?","If.yes,.at.what.age?","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.panic.attacks?_If.yes,.at.what.age?"
38,"Has.your.child.ever.been.diagnosed.with.obsessive.compulsive.disorder.(OCD)?","Yes/No","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.obsessive.compulsive.disorder.(OCD)?_Yes/No"
39,"Has.your.child.ever.been.diagnosed.with.obsessive.compulsive.disorder.(OCD)?","If.yes,.at.what.age?","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.obsessive.compulsive.disorder.(OCD)?_If.yes,.at.what.age?"
40,"Has.your.child.ever.been.diagnosed.with.schizophrenia?","Yes/No","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.schizophrenia?_Yes/No"
41,"Has.your.child.ever.been.diagnosed.with.schizophrenia?","If.yes,.at.what.age?","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.schizophrenia?_If.yes,.at.what.age?"
42,"Has.your.child.ever.been.diagnosed.with.catatonia?","Yes/No","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.catatonia?_Yes/No"
43,"Has.your.child.ever.been.diagnosed.with.catatonia?","If.yes,.at.what.age?","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.catatonia?_If.yes,.at.what.age?"
44,"Has.your.child.ever.been.diagnosed.with.oppositional.defiant.disorder?","Yes/No","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.oppositional.defiant.disorder?_Yes/No"
45,"Has.your.child.ever.been.diagnosed.with.oppositional.defiant.disorder?","If.yes,.at.what.age?","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.oppositional.defiant.disorder?_If.yes,.at.what.age?"
46,"Has.your.child.ever.been.diagnosed.with.conduct.disorder?","Yes/No","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.conduct.disorder?_Yes/No"
47,"Has.your.child.ever.been.diagnosed.with.conduct.disorder?","If.yes,.at.what.age?","Psychiatric",,,,,"Has.your.child.ever.been.diagnosed.with.conduct.disorder?_If.yes,.at.what.age?"
