"ColNum","Head1","Head2","SubFile","Evo","Reformat","VarName","Linked","Header"
1,"Patient.ID",,,,,,,"Patient.ID"
2,"Survey.Session.ID",,,,,,,"Survey.Session.ID"
3,"Survey.Date",,,,,,,"Survey.Date"
4,"Clinical.Status",,,,,,,"Clinical.Status"
5,"Genetic.Status",,,,,,,"Genetic.Status"
6,"I.would.like.to.be.contacted.by.the.Registry.if.researchers.learn.anything.new.about.PMS.",,,,,,,"I.would.like.to.be.contacted.by.the.Registry.if.researchers.learn.anything.new.about.PMS."
7,"I.would.like.to.be.contacted.by.the.Foundation.if.I,.or.my.family.member,.becomes.eligible.for.a.clinical.trial.",,,,,,,"I.would.like.to.be.contacted.by.the.Foundation.if.I,.or.my.family.member,.becomes.eligible.for.a.clinical.trial."
8,"I.give.permission.to.the.Foundation.to.contact.me.at.least.once.a.year.to.ask.about.changes.to.my.medical.condition,.to.request.that.I.upload.particular.attachments,.or.to.complete.forms.associated.with.my.participation.in.the.Registry.",,,,,,,"I.give.permission.to.the.Foundation.to.contact.me.at.least.once.a.year.to.ask.about.changes.to.my.medical.condition,.to.request.that.I.upload.particular.attachments,.or.to.complete.forms.associated.with.my.participation.in.the.Registry."
9,"Country",,,,,,,"Country"
10,"Birthdate",,,,,,,"Birthdate"
11,"Gender",,,,,,,"Gender"
12,"Ancestral.Background",,,,,,,"Ancestral.Background"
13,"If.deceased,.date.of.death",,,,,,,"If.deceased,.date.of.death"
14,"Repository.Name",,,,,,,"Repository.Name"
15,"Repository.ID",,,,,,,"Repository.ID"
16,"Lymphocyte.Specimen.ID",,,,,,,"Lymphocyte.Specimen.ID"
17,"Fibroblast.Specimen.ID",,,,,,,"Fibroblast.Specimen.ID"
18,"iPSC.Specimen.ID",,,,,,,"iPSC.Specimen.ID"
19,"Biological.Mother.PID",,,,,,,"Biological.Mother.PID"
20,"Biological.Father.PID",,,,,,,"Biological.Father.PID"
21,"GUID",,,,,,,"GUID"
22,"Test.Date",,,,,,,"Test.Date"
23,"Laboratory",,,,,,,"Laboratory"
24,"Test.Method",,,,,,,"Test.Method"
25,"Category",,,,,,,"Category"
26,"Test.Verification",,,,,,,"Test.Verification"
27,"Consultant.Verification",,,,,,,"Consultant.Verification"
28,"Participant.Origin",,,,,,,"Participant.Origin"
29,"Karyotype.Start",,,,,,,"Karyotype.Start"
30,"Karyotype.End",,,,,,,"Karyotype.End"
31,"Array.Version",,,,,,,"Array.Version"
32,"Genome.Browser.Build",,,,,,,"Genome.Browser.Build"
33,"Position.Start.Min",,,,,,,"Position.Start.Min"
34,"Position.Start.Max",,,,,,,"Position.Start.Max"
35,"Position.End.Min",,,,,,,"Position.End.Min"
36,"Position.End.Max",,,,,,,"Position.End.Max"
37,"Array.Confirmation.Studies",,,,,,,"Array.Confirmation.Studies"
38,"Probe.1",,,,,,,"Probe.1"
39,"Probe.2",,,,,,,"Probe.2"
40,"Probe.3",,,,,,,"Probe.3"
41,"Start.Exon.Intron",,,,,,,"Start.Exon.Intron"
42,"End.Exon.Intron",,,,,,,"End.Exon.Intron"
43,"Start.Position",,,,,,,"Start.Position"
44,"End.Position",,,,,,,"End.Position"
45,"Observed.Change",,,,,,,"Observed.Change"
46,"Amino.Acid",,,,,,,"Amino.Acid"
47,"VOUS",,,,,,,"VOUS"
48,"Frame",,,,,,,"Frame"
49,"Zygosity",,,,,,,"Zygosity"
50,"Parental.Results",,,,,,,"Parental.Results"
51,"Parental.Test.Method",,,,,,,"Parental.Test.Method"
52,"Parental.Origin",,,,,,,"Parental.Origin"
53,"Std.Nomenclature",,,,,,,"Std.Nomenclature"
54,"Comments",,,,,,,"Comments"
55,"Gene",,,,,,,"Gene"
56,"Other.Gain/Loss.1",,,,,,,"Other.Gain/Loss.1"
57,"Other.Arm.Gain/Loss.1",,,,,,,"Other.Arm.Gain/Loss.1"
58,"Other.Pos.Start.1",,,,,,,"Other.Pos.Start.1"
59,"Other.Pos.End.1",,,,,,,"Other.Pos.End.1"
60,"Other.Origin.1",,,,,,,"Other.Origin.1"
61,"Other.Gain/Loss.2",,,,,,,"Other.Gain/Loss.2"
62,"Other.Arm.Gain/Loss.2",,,,,,,"Other.Arm.Gain/Loss.2"
63,"Other.Pos.Start.2",,,,,,,"Other.Pos.Start.2"
64,"Other.Pos.End.2",,,,,,,"Other.Pos.End.2"
65,"Other.Origin.2",,,,,,,"Other.Origin.2"
66,"Other.Gain/Loss.3",,,,,,,"Other.Gain/Loss.3"
67,"Other.Arm.Gain/Loss.3",,,,,,,"Other.Arm.Gain/Loss.3"
68,"Other.Pos.Start.3",,,,,,,"Other.Pos.Start.3"
69,"Other.Pos.End.3",,,,,,,"Other.Pos.End.3"
70,"Other.Origin.3",,,,,,,"Other.Origin.3"
71,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","1_Condition","Diagnosis",,"refactor","Condition","1","Has.the.patient.been.tested.for.any.of.the.following.conditions?_1_Condition"
72,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","1_Age.at.testing","Diagnosis",,,"Age.at.testing","1","Has.the.patient.been.tested.for.any.of.the.following.conditions?_1_Age.at.testing"
73,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","2_Condition","Diagnosis",,"refactor","Condition","2","Has.the.patient.been.tested.for.any.of.the.following.conditions?_2_Condition"
74,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","2_Age.at.testing","Diagnosis",,,"Age.at.testing","2","Has.the.patient.been.tested.for.any.of.the.following.conditions?_2_Age.at.testing"
75,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","3_Condition","Diagnosis",,"refactor","Condition","3","Has.the.patient.been.tested.for.any.of.the.following.conditions?_3_Condition"
76,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","3_Age.at.testing","Diagnosis",,,"Age.at.testing","3","Has.the.patient.been.tested.for.any.of.the.following.conditions?_3_Age.at.testing"
77,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","4_Condition","Diagnosis",,"refactor","Condition","4","Has.the.patient.been.tested.for.any.of.the.following.conditions?_4_Condition"
78,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","4_Age.at.testing","Diagnosis",,,"Age.at.testing","4","Has.the.patient.been.tested.for.any.of.the.following.conditions?_4_Age.at.testing"
79,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","1_Condition","Diagnosis",,"refactor","Condition","1","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_1_Condition"
80,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","1_Age.at.diagnosis","Diagnosis",,,"Age.at.diagnosis","1","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_1_Age.at.diagnosis"
81,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","1_Status","Diagnosis",,,"Status","1","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_1_Status"
82,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","2_Condition","Diagnosis",,"refactor","Condition","2","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_2_Condition"
83,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","2_Age.at.diagnosis","Diagnosis",,,"Age.at.diagnosis","2","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_2_Age.at.diagnosis"
84,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","2_Status","Diagnosis",,,"Status","2","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_2_Status"
85,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","3_Condition","Diagnosis",,"refactor","Condition","3","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_3_Condition"
